method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption
Baseline-C (Semantic),23,100000,0.38092,0.25049,13043,25049,0,61908,139460552,53355634,27.671760917415927,218.61938,351.5,351.75,4.574159893784349,1177.1722860000393,1341.2852200000525,12.235498576507595,203.24228103279998,9.940862266667546,0.2559619954754823,0.34334649999999994,1500,1.0
Baseline-C (Semantic),24,100000,0.38231,0.25172,13059,25172,0,61769,139386073,53430113,27.710387861317827,218.1350475,351.5,351.75,4.584316053109256,1177.1828064000174,1341.2852200000525,12.23471422431902,204.26866501029997,9.940160906669007,0.25622774286950584,0.34455199999999997,1500,1.0
Baseline-C (Semantic),25,100000,0.3832,0.25533,12787,25533,0,61680,139438714,53377472,27.683086730073587,217.83396,351.5,351.75,4.590652440051128,1176.666804700018,1341.2852200000827,12.273184915886464,204.542472704,9.974561020004314,0.2560399349884872,0.34490050000000005,1500,1.0
Baseline-C (Semantic),26,100000,0.38244,0.25002,13242,25002,0,61756,139267376,53548810,27.771947527268274,218.0845325,351.5,351.75,4.5853779199127755,1176.835649900055,1341.2852200000755,12.260596601520092,204.792068964,9.963304673334703,0.25665087171908,0.344937,1500,1.0
Baseline-C (Semantic),27,100000,0.38294,0.25274,13020,25274,0,61706,139504653,53311533,27.64888887492049,217.91693,351.5,351.75,4.588904588551243,1177.3077194000202,1341.2852200000634,12.22540129086306,204.15118447019998,9.931833373336213,0.2558045498312463,0.3450289999999999,1500,1.0
Baseline-C (Semantic),28,100000,0.38367,0.2552,12847,25520,0,61633,139318884,53497302,27.745234002294804,217.668265,351.5,351.75,4.5941469694721,1176.5279870000272,1341.2852200000639,12.283534519229908,205.2530985834,9.983815533335777,0.256467316105662,0.34539,1500,1.0
Baseline-C (Semantic),29,100000,0.3822,0.25446,12774,25446,0,61780,139771637,53044549,27.51042332099651,218.1817625,351.5,351.75,4.583334503038492,1178.0426936000508,1341.285220000078,12.17060502612693,202.73626627799996,9.882835093335142,0.254849961640779,0.344031,1500,1.0
Baseline-D (Prompt),0,100000,0.17406,0.0,609,0,16797,82594,176126695,16689491,8.655648338568422,289.546796999691,350.4,350.4,3.4536731552967828,1281.6292304000444,1341.2852200000573,4.447673672271606,16.99477069106864,3.6533533229339192,0.09715322586954614,0.00609,1282,1.7093333333333334
Baseline-D (Prompt),1,100000,0.17423,0.0,597,0,16826,82577,175971062,16845124,8.736364072671783,289.4874009996907,350.4,350.4,3.4543817677269777,1281.0785607000466,1341.2852200000566,4.4887290489943235,17.373279130939228,3.751906811366216,0.09797044136350563,0.00597,1267,1.6893333333333334
Baseline-D (Prompt),2,100000,0.17475,0.0,615,0,16860,82525,175895114,16921072,8.775752882073915,289.3055549996923,350.4,350.4,3.456553055129079,1280.7672639000564,1341.2852200000639,4.511937893418718,17.204949565554696,3.694953925524243,0.0983687008903065,0.00615,1289,1.7186666666666666
Baseline-D (Prompt),3,100000,0.17447,0.0,613,0,16834,82553,176133499,16682687,8.652119589171834,289.40344899969125,350.4,350.4,3.4553838368424796,1281.6584143000644,1341.285220000083,4.445497856154333,17.14824273894344,3.6839595993730256,0.09711746486654635,0.00613,1273,1.6973333333333334
